transaction_id,date,merchant,category,amount,currency,status,department,cost_center,po_number,invoice_number,description,employee,approval_status
TXN-00001,2024-12-16,Steelcase,Furniture - Fixed Asset,600,USD,delivered,Sales,CC-005,PO-26849,INV-614722,Steelcase - Furniture - Fixed Asset,EMP-1057,Pending
TXN-00002,2024-10-30,Slack,Software - SaaS,99,USD,pending,Engineering,CC-003,,INV-516323,Slack - Software - SaaS,EMP-1017,Approved
TXN-00003,2025-03-13,Verizon,Utilities - Telecom,100,USD,pending,Operations,CC-004,PO-28862,INV-268498,Verizon - Utilities - Telecom,EMP-1204,Pending
TXN-00004,2025-03-10,Apple,Hardware - Equipment,1999,USD,paid,Marketing,CC-004,PO-69036,INV-260764,Apple - Hardware - Equipment,EMP-1014,Rejected
TXN-00005,2024-11-17,Grubhub,Meals & Entertainment,50,USD,paid,Operations,CC-001,PO-73382,INV-674179,Grubhub - Meals & Entertainment,EMP-1177,Rejected
TXN-00006,2024-04-05,Deloitte,Professional Services,50000,USD,invoiced,Operations,CC-005,,INV-536844,Deloitte - Professional Services,EMP-1178,Approved
TXN-00007,2024-01-29,Restaurants.com,Meals & Entertainment,40,USD,delivered,HR,CC-004,PO-55274,INV-232157,Restaurants.com - Meals & Entertainment,EMP-1006,Pending
TXN-00008,2024-05-31,UPS,Shipping & Logistics,50,USD,invoiced,HR,CC-002,PO-65991,INV-277071,UPS - Shipping & Logistics,EMP-1145,Pending
TXN-00009,2024-03-01,Apple,Hardware - Equipment,1999,USD,completed,Finance,CC-001,PO-85706,INV-548671,Apple - Hardware - Equipment,EMP-1139,Approved
TXN-00010,2025-02-17,Google Cloud,Software - Cloud,400,USD,completed,HR,CC-003,PO-29880,INV-408823,Google Cloud - Software - Cloud,EMP-1146,Rejected
TXN-00011,2024-06-09,American Airlines,Travel - Airfare,950,USD,paid,Finance,CC-004,PO-32021,INV-730979,American Airlines - Travel - Airfare,EMP-1169,Approved
TXN-00012,2024-06-11,Lenovo,Hardware - Equipment,2000,USD,delivered,Finance,CC-001,PO-96527,INV-914366,Lenovo - Hardware - Equipment,EMP-1107,Rejected
TXN-00013,2024-05-02,Marriott Hotels,Travel - Lodging,450,USD,invoiced,Engineering,CC-001,PO-93738,INV-116767,Marriott Hotels - Travel - Lodging,EMP-1198,Pending
TXN-00014,2024-09-27,UberEats,Meals & Entertainment,45,USD,delivered,HR,CC-002,PO-85764,INV-488446,UberEats - Meals & Entertainment,EMP-1021,Pending
TXN-00015,2024-01-19,Starbucks,Meals & Entertainment,15,USD,pending,Sales,CC-005,PO-96973,INV-764323,Starbucks - Meals & Entertainment,EMP-1125,Pending
TXN-00016,2024-07-02,Facebook Ads,Marketing - Digital,4000,USD,invoiced,Finance,CC-001,PO-59499,INV-224825,Facebook Ads - Marketing - Digital,EMP-1054,Approved
TXN-00017,2024-06-15,FedEx,Shipping & Logistics,500,USD,completed,Marketing,CC-002,PO-89861,INV-976090,FedEx - Shipping & Logistics,EMP-1136,Rejected
TXN-00018,2025-01-07,Best Buy,Hardware - Equipment,1200,USD,delivered,Sales,CC-005,PO-95755,INV-594450,Best Buy - Hardware - Equipment,EMP-1020,Pending
TXN-00019,2025-02-13,QuickBooks,Accounting Software,300,USD,paid,Sales,CC-003,PO-90383,INV-697570,QuickBooks - Accounting Software,EMP-1039,Pending
TXN-00020,2024-03-27,Comcast Inc,Utilities - Internet,200,USD,completed,Marketing,CC-004,PO-62079,INV-933910,Comcast Inc - Utilities - Internet,EMP-1165,Approved
TXN-00021,2024-05-14,UPS,Shipping & Logistics,350,USD,completed,Engineering,CC-002,PO-89759,INV-114770,UPS - Shipping & Logistics,EMP-1006,Pending
TXN-00022,2024-07-21,time warner,Utilities - Internet,60,USD,pending,Operations,CC-004,PO-39965,INV-100124,time warner - Utilities - Internet,EMP-1106,Approved
TXN-00023,2024-11-20,AT&T,Utilities - Telecom,300,USD,paid,Sales,CC-005,PO-35086,INV-434412,AT&T - Utilities - Telecom,EMP-1074,Approved
TXN-00024,2024-12-12,Staples,Office Supplies,150,USD,invoiced,Operations,CC-001,PO-84119,INV-938792,Staples - Office Supplies,EMP-1139,Rejected
TXN-00025,2025-02-07,Restaurants.com,Meals & Entertainment,40,USD,completed,Finance,CC-002,PO-29725,INV-987340,Restaurants.com - Meals & Entertainment,EMP-1028,Rejected
TXN-00026,2024-09-07,Slack,Software - SaaS,125,USD,completed,Operations,CC-004,PO-93409,INV-370492,Slack - Software - SaaS,EMP-1178,Approved
TXN-00027,2024-08-02,Lenovo,Hardware - Equipment,2000,USD,pending,Sales,CC-001,PO-77834,INV-644676,Lenovo - Hardware - Equipment,EMP-1063,Rejected
